Year,Bronze,Silver,Gold,total,,,,,,,,,,,,,,,,,
1956,,,,0,,,,,,,,,,,,,,,,,
1960,,,,0,,,,,,,,,,,,,,,,,
1964,,,,0,,,,,,,,,,,,,,,,,
1968,,,,0,,,,,,,,,,,,,,,,,
1972,,,,0,,,,,,,,,,,,,,,,,
1976,,,,0,,,,,,,,,,,,,,,,,
1980,,,,0,,,,,,,,,,,,,,,,,
1984,,,,0,,,,,,,,,,,,,,,,,
1988,,,,0,,,,,,,,,,,,,,,,,
1992,1,1,,2,,,,,,,,,,,,,,,,,
1994,1,,,1,,,,,,,,,,,,,,,,,
1998,1,,,1,,,,,,,,,,,,,,,,,
2002,,,,0,,,,,,,,,,,,,,,,,
2006,,,1,1,,,,,,,,,,,,,,,,,
2010,,4,,4,,,,,,,,,,,,,,,,,
2014,,,,0,,,,,,,,,,,,,,,,,